net,length_um
_0808_,7.09µm
_1203_,7.08µm
my_sum_sub.al_mb\[1\],7.075µm
_0227_,7.06µm
_1051_,7.06µm
_1081_,7.06µm
_1171_,7.06µm
_1066_,7.05µm
_1403_,7.04µm
_1459_,7.04µm
_1189_,7µm
_0821_,6.98µm
_1256_,6.98µm
_1286_,6.98µm
my_sum_sub.result\[12\],6.98µm
_0783_,6.96µm
_1023_,6.96µm
_0090_,6.94µm
_1158_,6.94µm
_1306_,6.94µm
_1342_,6.94µm
_0009_,6.9µm
_0266_,6.9µm
net270,6.88µm
_0982_,6.86µm
_1320_,6.86µm
_0061_,6.82µm
_0594_,6.82µm
_0042_,6.8µm
_0180_,6.8µm
_1144_,6.76µm
_1438_,6.76µm
_1490_,6.76µm
_0519_,6.74µm
_1210_,6.74µm
_1341_,6.74µm
_1483_,6.74µm
net283,6.74µm
_0595_,6.72µm
_0695_,6.72µm
_1001_,6.72µm
div_quotient\[1\],6.72µm
my_sum_sub.result\[7\],6.72µm
_1246_,6.695µm
_1369_,6.655µm
_0690_,6.64µm
_1024_,6.64µm
_1103_,6.64µm
_1360_,6.64µm
_1381_,6.64µm
