Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_59_57,VPWR,li1,32.4300,171.3600,1.800000
FILLER_59_53,VPWR,li1,30.5900,171.3600,1.800000
FILLER_59_47,VPWR,li1,27.6000,171.3600,1.800000
FILLER_59_44,VPWR,li1,26.4500,171.3600,1.800000
FILLER_59_41,VPWR,li1,25.0700,171.3600,1.800000
FILLER_59_38,VPWR,li1,23.6900,171.3600,1.800000
FILLER_59_30,VPWR,li1,19.7800,171.3600,1.800000
FILLER_59_27,VPWR,li1,18.6300,171.3600,1.800000
FILLER_59_24,VPWR,li1,17.2500,171.3600,1.800000
FILLER_59_21,VPWR,li1,15.8700,171.3600,1.800000
FILLER_59_18,VPWR,li1,14.4900,171.3600,1.800000
FILLER_59_15,VPWR,li1,13.1100,171.3600,1.800000
FILLER_59_12,VPWR,li1,11.7300,171.3600,1.800000
FILLER_59_9,VPWR,li1,10.3500,171.3600,1.800000
FILLER_59_6,VPWR,li1,8.9700,171.3600,1.800000
FILLER_59_3,VPWR,li1,7.5900,171.3600,1.800000
FILLER_58_368,VPWR,li1,175.2600,171.3600,1.800000
FILLER_58_365,VPWR,li1,174.1100,171.3600,1.800000
FILLER_58_363,VPWR,li1,172.7300,171.3600,1.800000
FILLER_58_360,VPWR,li1,171.8100,171.3600,1.800000
FILLER_58_357,VPWR,li1,170.4300,171.3600,1.800000
FILLER_58_354,VPWR,li1,169.0500,171.3600,1.800000
FILLER_58_351,VPWR,li1,167.6700,171.3600,1.800000
FILLER_58_348,VPWR,li1,166.2900,171.3600,1.800000
FILLER_58_345,VPWR,li1,164.9100,171.3600,1.800000
FILLER_58_342,VPWR,li1,163.5300,171.3600,1.800000
FILLER_58_339,VPWR,li1,162.1500,171.3600,1.800000
FILLER_58_336,VPWR,li1,160.7700,171.3600,1.800000
FILLER_58_333,VPWR,li1,159.3900,171.3600,1.800000
FILLER_58_330,VPWR,li1,158.0100,171.3600,1.800000
FILLER_58_327,VPWR,li1,156.6300,171.3600,1.800000
FILLER_58_324,VPWR,li1,155.2500,171.3600,1.800000
FILLER_58_321,VPWR,li1,153.8700,171.3600,1.800000
FILLER_58_318,VPWR,li1,152.4900,171.3600,1.800000
FILLER_58_315,VPWR,li1,151.1100,171.3600,1.800000
FILLER_58_312,VPWR,li1,149.7300,171.3600,1.800000
FILLER_58_309,VPWR,li1,148.3500,171.3600,1.800000
FILLER_58_307,VPWR,li1,146.9700,171.3600,1.800000
FILLER_58_304,VPWR,li1,146.0500,171.3600,1.800000
FILLER_58_301,VPWR,li1,144.6700,171.3600,1.800000
FILLER_58_298,VPWR,li1,143.2900,171.3600,1.800000
FILLER_58_295,VPWR,li1,141.9100,171.3600,1.800000
FILLER_58_292,VPWR,li1,140.5300,171.3600,1.800000
FILLER_58_289,VPWR,li1,139.1500,171.3600,1.800000
FILLER_58_286,VPWR,li1,137.7700,171.3600,1.800000
FILLER_58_283,VPWR,li1,136.3900,171.3600,1.800000
FILLER_58_280,VPWR,li1,135.0100,171.3600,1.800000
FILLER_58_277,VPWR,li1,133.6300,171.3600,1.800000
FILLER_58_274,VPWR,li1,132.2500,171.3600,1.800000
FILLER_58_271,VPWR,li1,130.8700,171.3600,1.800000
FILLER_58_268,VPWR,li1,129.4900,171.3600,1.800000
FILLER_58_265,VPWR,li1,128.1100,171.3600,1.800000
FILLER_58_262,VPWR,li1,126.7300,171.3600,1.800000
FILLER_58_259,VPWR,li1,125.3500,171.3600,1.800000
FILLER_58_256,VPWR,li1,123.9700,171.3600,1.800000
FILLER_58_253,VPWR,li1,122.5900,171.3600,1.800000
FILLER_58_250,VPWR,li1,120.9800,171.3600,1.800000
FILLER_58_247,VPWR,li1,119.8300,171.3600,1.800000
